"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"CXCL16_CVDI"	"CXCL16"	"Total cholesterol"	"rs6103572"	0.152477763659466	0.0749682337992376	0.0419618498984521	6	"pan"
"CXCL16_CVDI"	"CXCL16"	"Total cholesterol"	"All - Inverse variance weighted"	0.155384513946621	0.073694791641097	0.0349888816155445	6	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Total cholesterol"	"rs11594179"	-0.0306569343065693	0.0656934306569343	0.640738381802541	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Total cholesterol"	"rs2343592"	-0.0331412103746398	0.0439481268011527	0.45079016171079	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Total cholesterol"	"rs7896518"	0.0885458976441917	0.0292445166531275	0.00246359178594741	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Total cholesterol"	"rs7898709"	-0.0308234258036107	0.035667107001321	0.387479388385057	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Total cholesterol"	"rs8045833"	0.263020833333333	0.08984375	0.00341659250102061	5	"pan"
"Dkk-1_CVDI"	"Dkk-1"	"Total cholesterol"	"All - Inverse variance weighted"	0.0309775726204751	0.0382529639686203	0.418050287913553	5	"pan"
"EGF_CVDI"	"EGF"	"Total cholesterol"	"rs10029654"	-0.066412213740458	0.0412213740458015	0.107155507032273	1	"pan"
"EGF_CVDI"	"EGF"	"Total cholesterol"	"All - Wald ratio"	-0.066412213740458	0.0412213740458015	0.107155507032273	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Total cholesterol"	"rs1560832"	0.0988793671720501	0.036914963744232	0.00739369604991586	1	"pan"
"EN-RAGE_CVDI"	"EN-RAGE"	"Total cholesterol"	"All - Wald ratio"	0.0988793671720501	0.036914963744232	0.00739369604991586	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Total cholesterol"	"rs4451015"	-0.0529100529100529	0.0461073318216175	0.251158104958492	1	"pan"
"ESM-1_CVDI"	"ESM-1"	"Total cholesterol"	"All - Wald ratio"	-0.0529100529100529	0.0461073318216175	0.251158104958492	1	"pan"
"FABP4_CVDI"	"FABP4"	"Total cholesterol"	"rs35000407"	0.0262172284644195	0.0683520599250936	0.701303373192112	1	"pan"
"FABP4_CVDI"	"FABP4"	"Total cholesterol"	"All - Wald ratio"	0.0262172284644195	0.0683520599250936	0.701303373192112	1	"pan"
"FAS_CVDI"	"FAS"	"Total cholesterol"	"rs982764"	-0.00163132137030995	0.0228384991843393	0.943056670967043	1	"pan"
"FAS_CVDI"	"FAS"	"Total cholesterol"	"All - Wald ratio"	-0.00163132137030995	0.0228384991843393	0.943056670967043	1	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"rs1370593"	0.0343601895734597	0.0604265402843602	0.569608991540106	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"rs209956"	0.00956429330499469	0.0605738575982997	0.874539745432806	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"rs4074995"	-0.109722222222222	0.0791666666666667	0.165757617863569	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"rs4744712"	0.00167785234899329	0.0604026845637584	0.97783938988704	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"rs6489536"	-0.105413105413105	0.0783475783475783	0.178478490745752	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"rs6561643"	-0.0675883256528418	0.10752688172043	0.529629670287596	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"rs687289"	0.519329896907217	0.047680412371134	1.25995290327708e-27	7	"pan"
"FGF-23_CVDI"	"FGF-23"	"Total cholesterol"	"All - Inverse variance weighted"	0.120040924430727	0.0994467870285849	0.227398638424192	7	"pan"
"FS_CVDI"	"FS"	"Total cholesterol"	"rs1260326"	0.386999244142101	0.0272108843537415	6.67007154267783e-46	3	"pan"
"FS_CVDI"	"FS"	"Total cholesterol"	"rs31226"	0.0124127230411171	0.0395655546935609	0.753729539113066	3	"pan"
"FS_CVDI"	"FS"	"Total cholesterol"	"rs7964492"	-0.207064555420219	0.074299634591961	0.00532173204743072	3	"pan"
"FS_CVDI"	"FS"	"Total cholesterol"	"All - Inverse variance weighted"	0.22717588881976	0.150342352490859	0.130773887153161	3	"pan"
"GAL_CVDI"	"GAL"	"Total cholesterol"	"rs10174860"	0.0121479845389288	0.0281612368856985	0.666197506589673	3	"pan"
"GAL_CVDI"	"GAL"	"Total cholesterol"	"rs308966"	-0.0279187817258883	0.0490693739424704	0.569379541379991	3	"pan"
"GAL_CVDI"	"GAL"	"Total cholesterol"	"rs4959146"	0.0173053152039555	0.0543881334981459	0.750347023651697	3	"pan"
"GAL_CVDI"	"GAL"	"Total cholesterol"	"All - Inverse variance weighted"	0.00475248840146481	0.0222810512635855	0.831095067985063	3	"pan"
"GDF-15_CVDI"	"GDF-15"	"Total cholesterol"	"rs1054564"	-0.00572831423895254	0.0210038188761593	0.785062868547559	1	"pan"
"GDF-15_CVDI"	"GDF-15"	"Total cholesterol"	"All - Wald ratio"	-0.00572831423895254	0.0210038188761593	0.785062868547559	1	"pan"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"rs17741681"	-0.026026026026026	0.0158491825158492	0.100568191135906	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"rs2287921"	0.410714285714286	0.0630952380952381	7.54345081464811e-11	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"rs3735080"	-0.0657476139978791	0.0615058324496288	0.285085207677632	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"rs59379014"	0.26542750929368	0.070631970260223	0.000171348930131003	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"rs778986"	0.0303370786516854	0.0797752808988764	0.703736325568245	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"rs7979473"	0.237798546209761	0.0467289719626168	3.60167553067494e-07	6	"pan"
"Gal-3_CVDI"	"Gal-3"	"Total cholesterol"	"All - Inverse variance weighted"	0.0280596330882842	0.0556290813700664	0.613976220423945	6	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Total cholesterol"	"rs10761741"	0.0761421319796954	0.0261058738216099	0.0035379364782221	3	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Total cholesterol"	"rs1354034"	0.0178343949044586	0.0496815286624204	0.719614271159806	3	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Total cholesterol"	"rs2517622"	-0.300100704934542	0.0845921450151057	0.000388730030561672	3	"pan"
"HB-EGF_CVDI"	"HB-EGF"	"Total cholesterol"	"All - Inverse variance weighted"	0.0382724760939023	0.0673852919000915	0.570058846969961	3	"pan"
"HGF_CVDI"	"HGF"	"Total cholesterol"	"rs5745687"	-0.11038961038961	0.036963036963037	0.00282203310414966	1	"pan"
"HGF_CVDI"	"HGF"	"Total cholesterol"	"All - Wald ratio"	-0.11038961038961	0.036963036963037	0.00282203310414966	1	"pan"
"HSP_27_CVDI"	"HSP_27"	"Total cholesterol"	"rs2868371"	0.0460775736366288	0.0177894429862934	0.00959302365279137	1	"pan"
"HSP_27_CVDI"	"HSP_27"	"Total cholesterol"	"All - Wald ratio"	0.0460775736366288	0.0177894429862934	0.00959302365279137	1	"pan"
"IL-18_CVDI"	"IL-18"	"Total cholesterol"	"rs385076"	-0.00758807588075881	0.0308943089430894	0.805981023569994	4	"pan"
"IL-18_CVDI"	"IL-18"	"Total cholesterol"	"rs5002812"	0.12853470437018	0.0758354755784062	0.0900914983292912	4	"pan"
"IL-18_CVDI"	"IL-18"	"Total cholesterol"	"rs5744258"	-0.00738347946469774	0.0267651130595293	0.782654008414754	4	"pan"
"IL-18_CVDI"	"IL-18"	"Total cholesterol"	"rs916964"	0.024390243902439	0.0582655826558266	0.675505089804624	4	"pan"
"IL-18_CVDI"	"IL-18"	"Total cholesterol"	"All - Inverse variance weighted"	0.00387262633888218	0.0189606046622874	0.838161320561591	4	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Total cholesterol"	"rs3213762"	-0.0456081081081081	0.0878378378378378	0.603599824611128	2	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Total cholesterol"	"rs6734238"	0.122549019607843	0.0259803921568627	2.39369879632517e-06	2	"pan"
"IL-1ra_CVDI"	"IL-1ra"	"Total cholesterol"	"All - Inverse variance weighted"	0.109021425138698	0.0457358242378561	0.0171386102643396	2	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs10774625"	-0.402159244264507	0.048582995951417	1.25495139250628e-16	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs10843390"	-0.1875	0.0913461538461539	0.0401083224493613	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs11599750"	-0.0401561628555494	0.0200780814277747	0.0455002638963584	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs11666603"	-0.17300131061599	0.0878112712975098	0.0488212674664093	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs11711157"	-0.02	0.0622222222222222	0.747885634053571	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs1257169"	-0.159090909090909	0.0537190082644628	0.00306106258950568	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs4274855"	0.00521376433785193	0.0698644421272158	0.940511598005378	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"rs4740"	0.00958466453674121	0.00851970181043664	0.260589034273618	8	"pan"
"IL-27_CVDI"	"IL-27"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0136458916609845	0.0265380864526524	0.607111967380864	8	"pan"
"IL-6_CVDI"	"IL-6"	"Total cholesterol"	"rs2228145"	0.0297653119633658	0.0206067544361763	0.148613996455212	1	"pan"
"IL-6_CVDI"	"IL-6"	"Total cholesterol"	"All - Wald ratio"	0.0297653119633658	0.0206067544361763	0.148613996455212	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Total cholesterol"	"rs4129267"	0.00543989957108484	0.00376608431844335	0.148613996455212	1	"pan"
"IL-6RA_CVDI"	"IL-6RA"	"Total cholesterol"	"All - Wald ratio"	0.00543989957108484	0.00376608431844335	0.148613996455212	1	"pan"
"IL-8_CVDI"	"IL-8"	"Total cholesterol"	"rs7655660"	0.126865671641791	0.0900852878464819	0.15904698448246	1	"pan"
"IL-8_CVDI"	"IL-8"	"Total cholesterol"	"All - Wald ratio"	0.126865671641791	0.0900852878464819	0.15904698448246	1	"pan"
"IL16_CVDI"	"IL16"	"Total cholesterol"	"rs4778639"	-0.00865755710858454	0.0100135600292062	0.387267523500026	1	"pan"
"IL16_CVDI"	"IL16"	"Total cholesterol"	"All - Wald ratio"	-0.00865755710858454	0.0100135600292062	0.387267523500026	1	"pan"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"rs261334"	0.695945945945946	0.0864864864864865	8.49348523745157e-16	6	"pan"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"rs2991996"	0.099601593625498	0.0677290836653386	0.141402507486613	6	"pan"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"rs4148005"	0.0367197062423501	0.0465116279069768	0.429835204622545	6	"pan"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"rs6555820"	0.02533748701973	0.0105919003115265	0.0167496820173491	6	"pan"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"rs8036675"	0.00166666666666667	0.0866666666666667	0.984657011841237	6	"pan"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"rs872760"	0.13491124260355	0.0804733727810651	0.0936460525556566	6	"pan"
"KIM-1_CVDI"	"KIM-1"	"Total cholesterol"	"All - Inverse variance weighted"	0.037806090266749	0.0351180701940145	0.281684765512917	6	"pan"
"LEP_CVDI"	"LEP"	"Total cholesterol"	"rs12537573"	-0.0433639947437582	0.0709592641261498	0.541126024471668	2	"pan"
"LEP_CVDI"	"LEP"	"Total cholesterol"	"rs1558902"	-0.080824088748019	0.0586370839936609	0.168086495435629	2	"pan"
"LEP_CVDI"	"LEP"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0656238822332757	0.0452011428846842	0.146551913788483	2	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"rs10505752"	-0.0300187617260788	0.0647279549718574	0.642813889141328	7	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"rs1344674"	-0.027479091995221	0.041816009557945	0.51108906411744	7	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"rs17162315"	0.208287895310796	0.0763358778625954	0.00636093126661512	7	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"rs2305482"	-0.0545938748335553	0.0679094540612517	0.421442272706332	7	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"rs2511241"	-0.051605504587156	0.0797018348623853	0.517320031148379	7	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"rs61896051"	0.0660847880299252	0.0492518703241895	0.179669884269661	7	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"rs9264875"	-0.0407079646017699	0.0690265486725664	0.555362566713577	7	"pan"
"LOX-1_CVDI"	"LOX-1"	"Total cholesterol"	"All - Inverse variance weighted"	0.00586369254940955	0.0307671312196433	0.848852300413673	7	"pan"
"MB_CVDI"	"MB"	"Total cholesterol"	"rs10741929"	-0.055198973042362	0.0706033376123235	0.434321434162717	2	"pan"
"MB_CVDI"	"MB"	"Total cholesterol"	"rs2234962"	0.164179104477612	0.0925373134328358	0.0760311410098993	2	"pan"
"MB_CVDI"	"MB"	"Total cholesterol"	"All - Inverse variance weighted"	0.0255187610106317	0.105793897402754	0.80939078566973	2	"pan"
"MCP-1_CVDI"	"MCP-1"	"Total cholesterol"	"rs12495098"	0.0231736056559309	0.0424194815396701	0.58486228173769	4	"pan"
"MCP-1_CVDI"	"MCP-1"	"Total cholesterol"	"rs12601658"	0.05229793977813	0.0966719492868463	0.588518882160993	4	"pan"
"MCP-1_CVDI"	"MCP-1"	"Total cholesterol"	"rs2228467"	0.0725707257072571	0.0694956949569496	0.296370762644913	4	"pan"
"MCP-1_CVDI"	"MCP-1"	"Total cholesterol"	"rs9811380"	0.0193861066235864	0.0936995153473344	0.836090649580926	4	"pan"
"MCP-1_CVDI"	"MCP-1"	"Total cholesterol"	"All - Inverse variance weighted"	0.036300535086227	0.031883770581336	0.254900472634789	4	"pan"
"MMP-1_CVDI"	"MMP-1"	"Total cholesterol"	"rs2958130"	0.0157687253613666	0.0486202365308804	0.745692505957826	2	"pan"
"MMP-1_CVDI"	"MMP-1"	"Total cholesterol"	"rs6993770"	-0.0340080971659919	0.0331983805668016	0.305650988197024	2	"pan"
"MMP-1_CVDI"	"MMP-1"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0181801384780056	0.0274167477438928	0.507264337184969	2	"pan"
"MMP-10_CVDI"	"MMP-10"	"Total cholesterol"	"rs601338"	0.284433577832111	0.045639771801141	4.600975997966e-10	1	"pan"
"MMP-10_CVDI"	"MMP-10"	"Total cholesterol"	"All - Wald ratio"	0.284433577832111	0.045639771801141	4.600975997966e-10	1	"pan"
"MMP-12_CVDI"	"MMP-12"	"Total cholesterol"	"rs737693"	0.000781555295037124	0.00963918197212453	0.93537747125395	1	"pan"
"MMP-12_CVDI"	"MMP-12"	"Total cholesterol"	"All - Wald ratio"	0.000781555295037124	0.00963918197212453	0.93537747125395	1	"pan"
"MMP-3_CVDI"	"MMP-3"	"Total cholesterol"	"rs2267373"	0.282456140350877	0.0929824561403509	0.00238362796787267	2	"pan"
"MMP-3_CVDI"	"MMP-3"	"Total cholesterol"	"rs679620"	0.0201747088186356	0.0106073211314476	0.0571762815968997	2	"pan"
"MMP-3_CVDI"	"MMP-3"	"Total cholesterol"	"All - Inverse variance weighted"	0.0235441782620186	0.029536349550761	0.425378131121048	2	"pan"
"MMP-7_CVDI"	"MMP-7"	"Total cholesterol"	"rs11568819"	-0.0132521489971347	0.02560888252149	0.60481936985334	2	"pan"
"MMP-7_CVDI"	"MMP-7"	"Total cholesterol"	"rs9427472"	0.0109223300970874	0.066747572815534	0.870017416498946	2	"pan"
"MMP-7_CVDI"	"MMP-7"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0101502477524366	0.0239095222840752	0.671181214176992	2	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs10107630"	-0.0196078431372549	0.0714285714285714	0.783692870457014	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs10753458"	0.00634632819582956	0.042611060743427	0.88160399979692	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs1150754"	0.414438502673797	0.072192513368984	9.42633105881123e-09	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs2302774"	-0.29811320754717	0.1	0.00287184905168823	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs6034875"	0.0359042553191489	0.0691489361702128	0.603599824611128	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs7429360"	-0.0351170568561873	0.0986622073578595	0.721891338190708	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs757081"	0.117107942973523	0.0386965376782077	0.00247553610652053	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"rs8102236"	-0.176182707993475	0.066884176182708	0.0084349124430455	8	"pan"
"MPO_CVDI"	"MPO"	"Total cholesterol"	"All - Inverse variance weighted"	0.0410753914333296	0.0590134744963046	0.486407465993956	8	"pan"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"Total cholesterol"	"rs198389"	0.0325164938737041	0.0254476908576814	0.201327791983001	1	"pan"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"Total cholesterol"	"All - Wald ratio"	0.0325164938737041	0.0254476908576814	0.201327791983001	1	"pan"
"OPG_CVDI"	"OPG"	"Total cholesterol"	"rs17600346"	0.0194174757281553	0.0890919474585951	0.827469067993162	2	"pan"
"OPG_CVDI"	"OPG"	"Total cholesterol"	"rs7813952"	-0.0111111111111111	0.0298245614035088	0.709484121865155	2	"pan"
"OPG_CVDI"	"OPG"	"Total cholesterol"	"All - Inverse variance weighted"	-0.0080346769034928	0.0282819218224407	0.77633962913296	2	"pan"
"PAPPA_CVDI"	"PAPPA"	"Total cholesterol"	"rs13127398"	-0.185929648241206	0.0739411342426418	0.0119179971026641	8	"pan"
"PAPPA_CVDI"	"PAPPA"	"Total cholesterol"	"rs17372936"	-0.0829787234042553	0.0702127659574468	0.237277851868278	8	"pan"
"PAPPA_CVDI"	"PAPPA"	"Total cholesterol"	"rs2262535"	0.119393139841689	0.0646437994722955	0.0647560141319483	8	"pan"
"PAPPA_CVDI"	"PAPPA"	"Total cholesterol"	"rs2305637"	0.0576671035386632	0.0956749672346003	0.546681849454599	8	"pan"
"PAPPA_CVDI"	"PAPPA"	"Total cholesterol"	"rs4328821"	-0.0300319488817891	0.0536741214057508	0.575804286510009	8	"pan"
"PAPPA_CVDI"	"PAPPA"	"Total cholesterol"	"rs490358"	0.0192634560906516	0.0161473087818697	0.232876243973335	8	"pan"
"PAPPA_CVDI"	"PAPPA"	"Total cholesterol"	"rs653178"	-0.425207756232687	0.0512465373961219	1.06506610562561e-16	8	"pan"
