"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"PAR-1_CVDI"	"PAR-1"	"Total cholesterol"	"rs250727"	-0.0448247758761206	0.0415647921760391	0.280841292693571	1	"cis"
"PAR-1_CVDI"	"PAR-1"	"Total cholesterol"	"All - Wald ratio"	-0.0448247758761206	0.0415647921760391	0.280841292693571	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"Total cholesterol"	"rs11829928"	-0.0103000714455823	0.0121457489878543	0.396416131306575	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"Total cholesterol"	"All - Wald ratio"	-0.0103000714455823	0.0121457489878543	0.396416131306575	1	"cis"
"PTX3_CVDI"	"PTX3"	"Total cholesterol"	"rs9859018"	0.0601357904946654	0.055286129970902	0.276719045612457	1	"cis"
"PTX3_CVDI"	"PTX3"	"Total cholesterol"	"All - Wald ratio"	0.0601357904946654	0.055286129970902	0.276719045612457	1	"cis"
"PlGF_CVDI"	"PlGF"	"Total cholesterol"	"rs175048"	-0.0550218340611354	0.0445414847161572	0.216721062179052	1	"cis"
"PlGF_CVDI"	"PlGF"	"Total cholesterol"	"All - Wald ratio"	-0.0550218340611354	0.0445414847161572	0.216721062179052	1	"cis"
"RAGE_CVDI"	"RAGE"	"Total cholesterol"	"rs204993"	0.120214909335124	0.0295500335795836	4.73814046330413e-05	1	"cis"
"RAGE_CVDI"	"RAGE"	"Total cholesterol"	"All - Wald ratio"	0.120214909335124	0.0295500335795836	4.73814046330413e-05	1	"cis"
"RETN_CVDI"	"RETN"	"Total cholesterol"	"rs3219175"	0.0161770543866614	0.0328503374354903	0.622403288683465	1	"cis"
"RETN_CVDI"	"RETN"	"Total cholesterol"	"All - Wald ratio"	0.0161770543866614	0.0328503374354903	0.622403288683465	1	"cis"
"SCF_CVDI"	"SCF"	"Total cholesterol"	"rs11608458"	0.0988538681948424	0.0759312320916905	0.192955088064581	1	"cis"
"SCF_CVDI"	"SCF"	"Total cholesterol"	"All - Wald ratio"	0.0988538681948424	0.0759312320916905	0.192955088064581	1	"cis"
"SELE_CVDI"	"SELE"	"Total cholesterol"	"rs4656710"	0.0418648905803996	0.0513796384395814	0.4151783194999	1	"cis"
"SELE_CVDI"	"SELE"	"Total cholesterol"	"All - Wald ratio"	0.0418648905803996	0.0513796384395814	0.4151783194999	1	"cis"
"SPON1_CVDI"	"SPON1"	"Total cholesterol"	"rs10832172"	0.0248908296943231	0.0152838427947598	0.103403776769015	1	"cis"
"SPON1_CVDI"	"SPON1"	"Total cholesterol"	"All - Wald ratio"	0.0248908296943231	0.0152838427947598	0.103403776769015	1	"cis"
"ST2_CVDI"	"ST2"	"Total cholesterol"	"rs950880"	0.00387476751394916	0.00805951642901426	0.63068052093282	1	"cis"
"ST2_CVDI"	"ST2"	"Total cholesterol"	"All - Wald ratio"	0.00387476751394916	0.00805951642901426	0.63068052093282	1	"cis"
"TF_CVDI"	"TF"	"Total cholesterol"	"rs11589759"	0.0201086956521739	0.0282608695652174	0.476750625768757	1	"cis"
"TF_CVDI"	"TF"	"Total cholesterol"	"All - Wald ratio"	0.0201086956521739	0.0282608695652174	0.476750625768757	1	"cis"
"TIE2_CVDI"	"TIE2"	"Total cholesterol"	"rs2273720"	0.0048947626040137	0.0149290259422418	0.743010825241539	1	"cis"
"TIE2_CVDI"	"TIE2"	"Total cholesterol"	"All - Wald ratio"	0.0048947626040137	0.0149290259422418	0.743010825241539	1	"cis"
"TM_CVDI"	"TM"	"Total cholesterol"	"rs3176123"	-0.0222052067381317	0.0112302194997448	0.0480108107186987	1	"cis"
"TM_CVDI"	"TM"	"Total cholesterol"	"All - Wald ratio"	-0.0222052067381317	0.0112302194997448	0.0480108107186987	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"Total cholesterol"	"rs5746026"	-0.0159659393294305	0.0417775412453433	0.702338532209919	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"Total cholesterol"	"All - Wald ratio"	-0.0159659393294305	0.0417775412453433	0.702338532209919	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"Total cholesterol"	"rs344560"	0.00634819869861927	0.0196794159657197	0.747012853671546	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"Total cholesterol"	"All - Wald ratio"	0.00634819869861927	0.0196794159657197	0.747012853671546	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"Total cholesterol"	"rs2062305"	-0.0521091811414392	0.0297766749379653	0.0801183137276341	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"Total cholesterol"	"All - Wald ratio"	-0.0521091811414392	0.0297766749379653	0.0801183137276341	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"Total cholesterol"	"rs2302524"	-0.0532871972318339	0.0519031141868512	0.304577450342942	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"Total cholesterol"	"All - Wald ratio"	-0.0532871972318339	0.0519031141868512	0.304577450342942	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"Total cholesterol"	"rs6921438"	0.00538599640933573	0.0118940754039497	0.650671023604874	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"Total cholesterol"	"All - Wald ratio"	0.00538599640933573	0.0118940754039497	0.650671023604874	1	"cis"
